id_grade;id_aluno;id_disciplina
1;1;1
2;2;1
3;3;1
4;4;1
5;5;1
6;6;1
7;7;1
8;8;1
9;9;1
10;10;1
11;11;1
12;12;1
13;13;1
14;14;1
15;15;1
16;16;1
17;17;1
18;18;1
19;19;1
20;20;1
21;21;1
22;22;1
23;23;1
24;24;1
25;1;2
26;2;2
27;3;2
28;4;2
29;5;2
30;6;2
31;7;2
32;8;2
33;9;2
34;10;2
35;11;2
36;12;2
37;13;2
38;14;2
39;15;2
40;16;2
41;17;2
42;18;2
43;19;2
44;20;2
45;21;2
46;22;2
47;23;2
48;24;2
49;1;3
50;2;3
51;3;3
52;4;3
53;5;3
54;6;3
55;7;3
56;8;3
57;9;3
58;10;3
59;11;3
60;12;3
61;13;3
62;14;3
63;15;3
64;16;3
65;17;3
66;18;3
67;19;3
68;20;3
69;21;3
70;22;3
71;23;3
72;24;3
73;1;8
74;2;8
75;3;8
76;4;8
77;5;8
78;6;8
79;7;8
80;8;8
81;9;8
82;10;8
83;11;8
84;12;8
85;13;8
86;14;8
87;15;8
88;16;8
89;17;8
90;18;8
91;19;8
92;20;8
93;21;8
94;22;8
95;23;8
96;24;8
97;1;4
98;2;4
99;3;4
100;4;4
101;5;4
102;6;4
103;7;4
104;8;4
105;9;4
106;10;4
107;11;4
108;12;4
109;13;4
110;14;4
111;15;4
112;16;4
113;17;4
114;18;4
115;19;4
116;20;4
117;21;4
118;22;4
119;23;4
120;24;4
121;1;5
122;2;5
123;3;5
124;4;5
125;5;5
126;6;5
127;7;5
128;8;5
129;9;5
130;10;5
131;11;5
132;12;5
133;13;5
134;14;5
135;15;5
136;16;5
137;17;5
138;18;5
139;19;5
140;20;5
141;21;5
142;22;5
143;23;5
144;24;5
145;1;6
146;2;6
147;3;6
148;4;6
149;5;6
150;6;6
151;7;6
152;8;6
153;9;6
154;10;6
155;11;6
156;12;6
157;13;6
158;14;6
159;15;6
160;16;6
161;17;6
162;18;6
163;19;6
164;20;6
165;21;6
166;22;6
167;23;6
168;24;6
169;1;7
170;2;7
171;3;7
172;4;7
173;5;7
174;6;7
175;7;7
176;8;7
177;9;7
178;10;7
179;11;7
180;12;7
181;13;7
182;14;7
183;15;7
184;16;7
185;17;7
186;18;7
187;19;7
188;20;7
189;21;7
190;22;7
191;23;7
192;24;7
